#: table_doi: 10.17182/hepdata.60522.v1/t2
#: name: Table 2
#: description: The differential PT cross section as a function of PT.

#: data_file: Table2.yaml
#: keyword reactions: PBAR P --> E+ E- X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Electron production
#: keyword cmenergies: 1960.0
#: M(C=E+E-) [GeV],,,66.0-116.0
#: RE,,,PBAR P --> E+ E- X
#: SQRT(S) [GeV],,,1960.0
PT(C=E+E-) [GEV],PT(C=E+E-) [GEV] LOW,PT(C=E+E-) [GEV] HIGH,D(SIG)/DPT [PB/GEV],stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
50.0,48.0,52.0,0.3552,0.0156,-0.0156,0.0033,-0.0033,5.8%,-5.8%
54.0,52.0,56.0,0.276,0.0136,-0.0136,0.0025,-0.0025,5.8%,-5.8%
58.0,56.0,60.0,0.2311,0.0128,-0.0128,0.002,-0.002,5.8%,-5.8%
62.5,60.0,65.0,0.1618,0.0089,-0.0089,0.0014,-0.0014,5.8%,-5.8%
67.5,65.0,70.0,0.1343,0.0084,-0.0084,0.0011,-0.0011,5.8%,-5.8%
72.5,70.0,75.0,0.1094,0.0078,-0.0078,0.0009,-0.0009,5.8%,-5.8%
77.5,75.0,80.0,0.08415,0.00678,-0.00678,0.00068,-0.00068,5.8%,-5.8%
82.5,80.0,85.0,0.06347,0.00565,-0.00565,0.00049,-0.00049,5.8%,-5.8%
87.5,85.0,90.0,0.04982,0.00504,-0.00504,0.00038,-0.00038,5.8%,-5.8%
92.5,90.0,95.0,0.03786,0.00422,-0.00422,0.00028,-0.00028,5.8%,-5.8%
97.5,95.0,100.0,0.02988,0.00389,-0.00389,0.00023,-0.00023,5.8%,-5.8%
105.0,100.0,110.0,0.02298,0.00227,-0.00227,0.00016,-0.00016,5.8%,-5.8%
115.0,110.0,120.0,0.01449,0.00178,-0.00178,0.0001,-0.0001,5.8%,-5.8%
125.0,120.0,130.0,0.009369,0.001389,-0.001389,6.4e-05,-6.4e-05,5.8%,-5.8%
135.0,130.0,140.0,0.008395,0.001496,-0.001496,5.5e-05,-5.5e-05,5.8%,-5.8%
145.0,140.0,150.0,0.005304,0.001174,-0.001174,3.4e-05,-3.4e-05,5.8%,-5.8%
162.5,150.0,175.0,0.001861,0.000331,-0.000331,1.2e-05,-1.2e-05,5.8%,-5.8%
187.5,175.0,200.0,0.0005283,0.0001478,-0.0001478,3.1e-06,-3.1e-06,5.8%,-5.8%
225.0,200.0,250.0,0.0002838,0.0001019,-0.0001019,1.9e-06,-1.9e-06,5.8%,-5.8%
300.0,250.0,350.0,0.0001489,0.0001162,-0.0001162,9e-07,-9e-07,5.8%,-5.8%

