PdfType: central
Format: lhagrid1
---
1.000000e-06 2.000000e-06 4.000000e-06 6.000000e-06 8.000000e-06 1.000000e-05 2.000000e-05 4.000000e-05 6.000000e-05 8.000000e-05 1.000000e-04 2.000000e-04 4.000000e-04 6.000000e-04 8.000000e-04 1.000000e-03 2.000000e-03 4.000000e-03 6.000000e-03 8.000000e-03 1.000000e-02 1.400000e-02 2.000000e-02 3.000000e-02 4.000000e-02 6.000000e-02 8.000000e-02 1.000000e-01 1.250000e-01 1.500000e-01 1.750000e-01 2.000000e-01 2.250000e-01 2.500000e-01 2.750000e-01 3.000000e-01 3.250000e-01 3.500000e-01 3.750000e-01 4.000000e-01 4.250000e-01 4.500000e-01 4.750000e-01 5.000000e-01 5.250000e-01 5.500000e-01 5.750000e-01 6.000000e-01 6.250000e-01 6.500000e-01 6.750000e-01 7.000000e-01 7.250000e-01 7.500000e-01 7.750000e-01 8.000000e-01 8.250000e-01 8.500000e-01 8.750000e-01 9.000000e-01 9.250000e-01 9.500000e-01 9.750000e-01 1.000000e+00
1.000000e+00 1.118034e+00 1.224745e+00 1.400000e+00
-5 -4 -3 -2 -1 1 2 3 4 5 21
5.16167285e-01 5.16167285e-01 1.02422224e+00 1.40902348e+00 1.40902365e+00 1.40906982e+00 1.40924605e+00 1.02348246e+00 5.16167285e-01 5.16167285e-01 6.16947384e+01
4.89773287e-01 4.89773287e-01 1.34872223e+00 1.73154108e+00 1.73160505e+00 1.73166363e+00 1.73179455e+00 1.34796830e+00 4.89773287e-01 4.89773287e-01 6.48649678e+01
4.74531605e-01 4.74531605e-01 1.60650586e+00 1.98785933e+00 1.98784467e+00 1.98791362e+00 1.98813706e+00 1.60574145e+00 4.74531605e-01 4.74531605e-01 6.76240490e+01
4.60884843e-01 4.63191750e-01 1.98256178e+00 2.36174880e+00 2.36175446e+00 2.36183732e+00 2.36206093e+00 1.98178332e+00 4.63191750e-01 4.60884843e-01 7.20913611e+01
3.04968984e-01 3.04968984e-01 7.66819924e-01 1.11525686e+00 1.11525469e+00 1.11535183e+00 1.11565147e+00 7.65957009e-01 3.04968984e-01 3.04968984e-01 3.90132669e+01
2.88407356e-01 2.88407356e-01 9.66874631e-01 1.31348286e+00 1.31347327e+00 1.31359341e+00 1.31393127e+00 9.65995178e-01 2.88407356e-01 2.88407356e-01 4.08584547e+01
2.79972993e-01 2.79972993e-01 1.13062709e+00 1.47574090e+00 1.47575410e+00 1.47589271e+00 1.47623138e+00 1.12973556e+00 2.79972993e-01 2.79972993e-01 4.25752905e+01
2.74530504e-01 2.76044106e-01 1.37685957e+00 1.71994817e+00 1.71999338e+00 1.72015829e+00 1.72049805e+00 1.37595179e+00 2.76044106e-01 2.74530504e-01 4.55411509e+01
1.74201616e-01 1.74201616e-01 5.93190953e-01 9.07492553e-01 9.07496818e-01 9.07712028e-01 9.08228565e-01 5.92181894e-01 1.74201616e-01 1.74201616e-01 2.24582005e+01
1.65158844e-01 1.65158844e-01 7.05775199e-01 1.01828101e+00 1.01828831e+00 1.01854825e+00 1.01911312e+00 7.04747536e-01 1.65158844e-01 1.65158844e-01 2.34125631e+01
1.61859473e-01 1.61859473e-01 8.03184665e-01 1.11431507e+00 1.11432281e+00 1.11461802e+00 1.11522139e+00 8.02142937e-01 1.61859473e-01 1.61859473e-01 2.44268930e+01
1.62444276e-01 1.63392093e-01 9.57299832e-01 1.26653293e+00 1.26654662e+00 1.26689174e+00 1.26754371e+00 9.56239413e-01 1.63392093e-01 1.62444276e-01 2.63692483e+01
1.22031510e-01 1.22031510e-01 5.17745931e-01 8.13367555e-01 8.13367464e-01 8.13644334e-01 8.14311961e-01 5.16643096e-01 1.22031510e-01 1.22031510e-01 1.66656100e+01
1.16525245e-01 1.16525245e-01 6.04086971e-01 8.97944480e-01 8.97950175e-01 8.98289131e-01 8.99009326e-01 6.02964363e-01 1.16525245e-01 1.16525245e-01 1.73999974e+01
1.15593179e-01 1.15593179e-01 6.81504300e-01 9.74006846e-01 9.74014082e-01 9.74397819e-01 9.75166537e-01 6.80366504e-01 1.15593179e-01 1.15593179e-01 1.82418291e+01
1.18875771e-01 1.19643362e-01 8.07469061e-01 1.09806776e+00 1.09814161e+00 1.09858956e+00 1.09935996e+00 8.06310535e-01 1.19643362e-01 1.18875771e-01 1.99218291e+01
9.21092052e-02 9.21092052e-02 4.71841914e-01 7.54523056e-01 7.54518414e-01 7.54885362e-01 7.55700187e-01 4.70667135e-01 9.21092052e-02 9.21092052e-02 1.31566625e+01
8.87883209e-02 8.87883209e-02 5.42721393e-01 8.23651532e-01 8.23664591e-01 8.24102618e-01 8.24975231e-01 5.41525422e-01 8.87883209e-02 8.87883209e-02 1.37694804e+01
8.92982441e-02 8.92982441e-02 6.08289302e-01 8.87878910e-01 8.87884297e-01 8.88378240e-01 8.89317291e-01 6.07076590e-01 8.92982441e-02 8.92982441e-02 1.45128564e+01
9.41868101e-02 9.48462330e-02 7.17403426e-01 9.95128773e-01 9.95138074e-01 9.95711570e-01 9.96727352e-01 7.16169395e-01 9.48462330e-02 9.41868101e-02 1.60399715e+01
7.26849081e-02 7.26849081e-02 4.40320762e-01 7.13139115e-01 7.13143437e-01 7.13600372e-01 7.14545031e-01 4.39086027e-01 7.26849081e-02 7.26849081e-02 1.07618786e+01
7.08881088e-02 7.08881088e-02 5.00923632e-01 7.71997058e-01 7.72002656e-01 7.72544509e-01 7.73576586e-01 4.99666246e-01 7.08881088e-02 7.08881088e-02 1.12961744e+01
7.23875601e-02 7.23875601e-02 5.58535891e-01 8.28283270e-01 8.28288903e-01 8.28897465e-01 8.29996233e-01 5.57261908e-01 7.23875601e-02 7.23875601e-02 1.19770838e+01
7.83531303e-02 7.89391181e-02 6.56252991e-01 9.24147603e-01 9.24170161e-01 9.24871579e-01 9.26047496e-01 6.54956869e-01 7.89391181e-02 7.83531303e-02 1.34049728e+01
2.86591665e-02 2.86591665e-02 3.60500405e-01 6.03786094e-01 6.03793439e-01 6.04622740e-01 6.06118873e-01 3.59061709e-01 2.86591665e-02 2.86591665e-02 5.38172021e+00
3.07657818e-02 3.07657818e-02 4.00405982e-01 6.41974297e-01 6.41988385e-01 6.42956720e-01 6.44576370e-01 3.98941865e-01 3.07657818e-02 3.07657818e-02 5.79565488e+00
3.47230713e-02 3.47230713e-02 4.41638539e-01 6.81888499e-01 6.81907445e-01 6.82982261e-01 6.84698732e-01 4.40155749e-01 3.47230713e-02 3.47230713e-02 6.37080654e+00
