#: table_doi: 10.17182/hepdata.42501.v1/t6
#: name: Table 6
#: description: No description provided.
#: data_file: Table6.yaml
#: keyword reactions: P DEUT --> MU+ MU- X
#: keyword observables: E*D3SIG/DP**3
#: keyword phrases: Inclusive | Invariant Cross Section | Di-Muon Production | Muon production
#: M [GeV],11.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,0.0868,0.0294,-0.0294
0.375,0.0916,0.0169,-0.0169
0.625,0.0378,0.00769,-0.00769
0.875,0.0373,0.00644,-0.00644
1.125,0.0359,0.00541,-0.00541
1.375,0.0155,0.00342,-0.00342
1.625,0.0111,0.0025,-0.0025
1.875,0.00945,0.00246,-0.00246
2.125,0.00506,0.00158,-0.00158
2.375,0.00172,0.000821,-0.000821
2.625,0.00145,0.000876,-0.000876

#: M [GeV],12.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,0.0292,0.0215,-0.0215
0.375,0.0184,0.00683,-0.00683
0.625,0.0291,0.00777,-0.00777
0.875,0.0272,0.00603,-0.00603
1.125,0.0209,0.00456,-0.00456
1.375,0.00726,0.00208,-0.00208
1.625,0.007,0.00255,-0.00255
1.875,0.00187,0.00088,-0.00088
2.125,0.00209,0.00147,-0.00147
2.375,0.00181,0.00127,-0.00127
2.625,0.00259,0.00205,-0.00205

#: M [GeV],13.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,0.0228,0.0178,-0.0178
0.375,0.00669,0.00368,-0.00368
0.625,0.00449,0.00235,-0.00235
0.875,0.00991,0.00434,-0.00434
1.125,0.00656,0.00335,-0.00335
1.375,0.0054,0.00228,-0.00228
1.625,0.000931,0.000623,-0.000623
1.875,-,0,0
2.125,-,0,0
2.375,-,0,0
2.625,-,0,0

#: M [GeV],14.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,0.0153,0.0207,-0.0207
0.375,0.00793,0.00509,-0.00509
0.625,-,0,0
0.875,0.00756,0.00388,-0.00388
1.125,0.00292,0.00172,-0.00172
1.375,0.00698,0.0071,-0.0071
1.625,0.00273,0.00183,-0.00183
1.875,-,0,0
2.125,-,0,0
2.375,-,0,0
2.625,-,0,0

