#: table_doi: 10.17182/hepdata.22831.v1/t21
#: name: Table 21
#: description: No description provided.
#: data_file: Table21.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: E*D3SIG/DP**3
#: keyword phrases: Inclusive | Invariant Cross Section | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: M(P=3 4) [GEV],13.5 TO 18.0
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: XL,-0.1
PT [GEV],E*D3(SIG)/D(P**3) [PB/GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1,0.024,0.00546,-0.00546,15.0%,-15.0%,5.0%,-5.0%
0.3,0.0206,0.0029,-0.0029,15.0%,-15.0%,5.0%,-5.0%
0.5,0.0188,0.00213,-0.00213,15.0%,-15.0%,5.0%,-5.0%
0.7,0.0171,0.00172,-0.00172,15.0%,-15.0%,5.0%,-5.0%
0.9,0.00973,0.00116,-0.00116,15.0%,-15.0%,5.0%,-5.0%
1.1,0.0107,0.00109,-0.00109,15.0%,-15.0%,5.0%,-5.0%
1.3,0.00791,0.000879,-0.000879,15.0%,-15.0%,5.0%,-5.0%
1.5,0.00605,0.000697,-0.000697,15.0%,-15.0%,5.0%,-5.0%
1.7,0.0035,0.000509,-0.000509,15.0%,-15.0%,5.0%,-5.0%
1.9,0.00194,0.000359,-0.000359,15.0%,-15.0%,5.0%,-5.0%
2.1,0.002,0.000366,-0.000366,15.0%,-15.0%,5.0%,-5.0%
2.3,0.00136,0.000294,-0.000294,15.0%,-15.0%,5.0%,-5.0%
2.5,0.00136,0.000288,-0.000288,15.0%,-15.0%,5.0%,-5.0%
2.7,0.0006,0.000191,-0.000191,15.0%,-15.0%,5.0%,-5.0%
2.9,0.000435,0.000166,-0.000166,15.0%,-15.0%,5.0%,-5.0%

