#: table_doi: 10.17182/hepdata.22831.v1/t17
#: name: Table 17
#: description: No description provided.
#: data_file: Table17.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: E*D3SIG/DP**3
#: keyword phrases: Inclusive | Invariant Cross Section | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: M(P=3 4) [GEV],7 TO 8
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: XL,-0.1
PT [GEV],E*D3(SIG)/D(P**3) [PB/GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1,0.785,0.115,-0.115,15.0%,-15.0%,5.0%,-5.0%
0.3,0.973,0.0861,-0.0861,15.0%,-15.0%,5.0%,-5.0%
0.5,0.825,0.0616,-0.0616,15.0%,-15.0%,5.0%,-5.0%
0.7,0.805,0.057,-0.057,15.0%,-15.0%,5.0%,-5.0%
0.9,0.569,0.0422,-0.0422,15.0%,-15.0%,5.0%,-5.0%
1.1,0.537,0.0447,-0.0447,15.0%,-15.0%,5.0%,-5.0%
1.3,0.388,0.039,-0.039,15.0%,-15.0%,5.0%,-5.0%
1.5,0.312,0.038,-0.038,15.0%,-15.0%,5.0%,-5.0%
1.7,0.229,0.0373,-0.0373,15.0%,-15.0%,5.0%,-5.0%
1.9,0.136,0.0307,-0.0307,15.0%,-15.0%,5.0%,-5.0%
2.1,0.137,0.0433,-0.0433,15.0%,-15.0%,5.0%,-5.0%

